title,n_enrolled,Level,subject,language,weeks_duration,price,on_demand,categ_price,comisiones,costos,sales
How to Learn Online,124980,Introductory,Education & Teacher Training,English,1-4,49,True,0-50,4.9,612402.0,6124020
Programming for Everybody (Getting Started with Python),293864,Introductory,Computer Science,English,4-8,49,True,0-50,4.9,1439933.6,14399336
CS50's Introduction to Computer Science,2442271,Introductory,Computer Science,English,8-12,90,True,50-100,9.0,21980439.0,219804390
The Analytics Edge,129555,Intermediate,Data Analysis & Statistics,English,>12,199,False,>150,19.900000000000002,2578144.5000000005,25781445
Marketing Analytics: Marketing Measurement Strategy,81140,Introductory,Computer Science,English,1-4,249,True,>150,24.900000000000002,2020386.0000000002,20203860
Introduction to Project Management,301793,Introductory,Business & Management,English,4-8,199,True,>150,19.900000000000002,6005680.7,60056807
Leading High-Performing Teams,32847,Intermediate,Communication,English,8-12,5,True,0-50,0.5,16423.5,164235
The Foundations of Happiness at Work,67073,Introductory,Business & Management,English,1-4,199,True,>150,19.900000000000002,1334752.7000000002,13347527
"Managing Study, Stress and Mental Health at University",23061,Introductory,Health & Safety,English,1-4,49,True,0-50,4.9,112998.90000000001,1129989
Six Sigma: Define and Measure,92411,Introductory,Business & Management,English,4-8,99,True,50-100,9.9,914868.9,9148689
Fat Chance: Probability from the Ground Up,66835,Introductory,Math,English,4-8,49,True,0-50,4.9,327491.5,3274915
Chasing your Dream: How to End Procrastination and Get a Job You Love,44711,Introductory,Communication,English,4-8,49,True,0-50,4.9,219083.90000000002,2190839
Bitcoin and Cryptocurrencies,83398,Introductory,Computer Science,English,4-8,99,True,50-100,9.9,825640.2000000001,8256402
English Grammar and Style,24130,Introductory,Humanities,English,4-8,99,False,50-100,9.9,238887.0,2388870
Ethics in Action,6366,Intermediate,Ethics,English,8-12,49,True,0-50,4.9,31193.4,311934
Introduction to FinTech,72767,Introductory,Economics & Finance,English,4-8,199,True,>150,19.900000000000002,1448063.3,14480633
Data Science: R Basics,528782,Introductory,Data Analysis & Statistics,English,4-8,49,True,0-50,4.9,2591031.8000000003,25910318
Python Basics for Data Science,228809,Introductory,Data Analysis & Statistics,English,4-8,39,True,0-50,3.9000000000000004,892355.1000000001,8923551
The Science of Beer,39085,Introductory,Food & Nutrition,English,4-8,49,True,0-50,4.9,191516.5,1915165
Strategic Social Media Marketing,103640,Advanced,Business & Management,English,4-8,399,False,>150,39.900000000000006,4135236.0000000005,41352360
CS50's Introduction to Artificial Intelligence with Python,258006,Introductory,Computer Science,English,4-8,199,True,>150,19.900000000000002,5134319.4,51343194
CS50's Introduction to Game Development,346748,Intermediate,Computer Science,English,8-12,149,True,100-150,14.9,5166545.2,51665452
Rhetoric: The Art of Persuasive Writing and Public Speaking,320225,Introductory,Humanities,English,4-8,99,True,50-100,9.9,3170227.5,31702275
CS50's Web Programming with Python and JavaScript,698950,Intermediate,Computer Science,English,8-12,90,True,50-100,9.0,6290550.0,62905500
Contract Law: From Trust to Promise to Contract,414181,Intermediate,Business & Management,English,4-8,125,True,100-150,12.5,5177262.5,51772625
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",380167,Introductory,Biology & Life Sciences,English,4-8,99,True,50-100,9.9,3763653.3000000003,37636533
Justice,392588,Introductory,Humanities,English,8-12,99,True,50-100,9.9,3886621.2,38866212
Data Science: Machine Learning,276209,Introductory,Data Analysis & Statistics,English,4-8,49,True,0-50,4.9,1353424.1,13534241
Child Protection: Children's Rights in Theory and Practice,212453,Introductory,Social Sciences,English,>12,99,True,50-100,9.9,2103284.7,21032847
IELTS Academic Test Preparation,1103777,Introductory,Communication,English,4-8,99,True,50-100,9.9,10927392.3,109273923
The Architectural Imagination,406181,Introductory,Architecture,English,8-12,99,True,50-100,9.9,4021191.9000000004,40211919
TOEFL® Test Preparation: The Insider’s Guide,1022489,Introductory,Communication,English,4-8,49,True,0-50,4.9,5010196.100000001,50101961
Principles of Biochemistry,257600,Intermediate,Medicine,English,>12,199,True,>150,19.900000000000002,5126240.000000001,51262400
Using Python for Research,262183,Intermediate,Computer Science,English,8-12,99,True,50-100,9.9,2595611.7,25956117
Hinduism Through Its Scriptures,140782,Introductory,Humanities,English,1-4,99,True,50-100,9.9,1393741.8,13937418
Basic Spanish 1: Getting Started,400169,Introductory,Communication,English,4-8,40,True,0-50,4.0,1600676.0,16006760
The Health Effects of Climate Change,110024,Introductory,Environmental Studies,English,4-8,99,True,50-100,9.9,1089237.6,10892376
Inglés básico: conversacional y networking,79671,Introductory,Business & Management,Español,1-4,49,True,0-50,4.9,390387.9,3903879
Statistics and R,314586,Intermediate,Data Analysis & Statistics,English,1-4,249,True,>150,24.900000000000002,7833191.4,78331914
Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),145011,Introductory,Chemistry,English,>12,199,True,>150,19.900000000000002,2885718.9000000004,28857189
Pyramids of Giza: Ancient Egyptian Art and Archaeology,123870,Introductory,Art & Culture,English,4-8,99,True,50-100,9.9,1226313.0,12263130
"PredictionX: Omens, Oracles & Prophecies",91566,Introductory,Social Sciences,English,1-4,25,True,0-50,2.5,228915.0,2289150
Excel: Fundamentos y herramientas,284279,Introductory,Computer Science,Español,4-8,50,True,0-50,5.0,1421395.0,14213950
Lessons from Ebola: Preventing the Next Pandemic,91983,Introductory,Social Sciences,English,1-4,49,True,0-50,4.9,450716.7,4507167
Improving Global Health: Focusing on Quality and Safety,127353,Intermediate,Social Sciences,English,8-12,99,True,50-100,9.9,1260794.7,12607947
CS50 for Lawyers,87336,Introductory,Computer Science,English,8-12,99,True,50-100,9.9,864626.4,8646264
Data Science: Visualization,171258,Introductory,Data Analysis & Statistics,English,4-8,49,True,0-50,4.9,839164.2000000001,8391642
Christianity Through Its Scriptures,125051,Introductory,Humanities,English,1-4,99,True,50-100,9.9,1238004.9000000001,12380049
The Science of Happiness,475614,Introductory,Social Sciences,English,8-12,169,True,>150,16.900000000000002,8037876.600000001,80378766
Leaders of Learning,231131,Introductory,Communication,English,8-12,99,True,50-100,9.9,2288196.9,22881969
Exercising Leadership: Foundational Principles,57814,Introductory,Business & Management,English,1-4,99,True,50-100,9.9,572358.6,5723586
Data Science: Probability,135859,Introductory,Data Analysis & Statistics,English,4-8,49,True,0-50,4.9,665709.1000000001,6657091
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,117410,Intermediate,Education & Teacher Training,English,8-12,70,True,50-100,7.0,821870.0,8218700
"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",80082,Introductory,Medicine,English,4-8,99,True,50-100,9.9,792811.8,7928118
Introduction to Family Engagement in Education,105146,Introductory,Education & Teacher Training,English,4-8,70,True,50-100,7.0,736022.0,7360220
Italian Language and Culture: Beginner (2019-2020),182462,Introductory,Language,Otros,8-12,49,True,0-50,4.9,894063.8,8940638
Steps in Japanese for Beginners1 Part1,53630,Introductory,Language,English,4-8,49,True,0-50,4.9,262787.0,2627870
How to Write an Essay,306787,Introductory,Humanities,English,4-8,49,True,0-50,4.9,1503256.3,15032563
Energy Within Environmental Constraints,95324,Introductory,Environmental Studies,English,8-12,99,True,50-100,9.9,943707.6,9437076
Introduction to Probability,97291,Intermediate,Data Analysis & Statistics,English,8-12,99,True,50-100,9.9,963180.9,9631809
AnatomyX: Musculoskeletal Cases,102075,Intermediate,Medicine,English,4-8,99,True,50-100,9.9,1010542.5,10105425
Data Science: Inference and Modeling,88256,Introductory,Data Analysis & Statistics,English,4-8,49,True,0-50,4.9,432454.4,4324544
Strengthening Community Health Worker Programs,58626,Introductory,Health & Safety,English,4-8,79,True,50-100,7.9,463145.4,4631454
Buddhism Through Its Scriptures,182295,Introductory,Humanities,English,1-4,99,True,50-100,9.9,1804720.5,18047205
Introduction to Linux,642088,Introductory,Computer Science,English,>12,199,True,>150,19.900000000000002,12777551.200000001,127775512
"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",81221,Introductory,Medicine,English,8-12,99,True,50-100,9.9,804087.9,8040879
Shakespeare's Life and Work,48938,Introductory,Humanities,English,1-4,49,True,0-50,4.9,239796.2,2397962
Marketing Digital: Content & Community Manager,112623,Introductory,Communication,Español,4-8,49,True,0-50,4.9,551852.7000000001,5518527
Accounting and Finance,88243,Intermediate,Business & Management,English,8-12,150,True,100-150,15.0,1323645.0,13236450
Computing in Python I: Fundamentals and Procedural Programming,141966,Introductory,Computer Science,English,4-8,99,True,50-100,9.9,1405463.4000000001,14054634
"Nutrition, Exercise and Sports",51679,Intermediate,Food & Nutrition,English,4-8,49,True,0-50,4.9,253227.1,2532271
Becoming an Entrepreneur,104760,Introductory,Business & Management,English,4-8,69,True,50-100,6.9,722844.0,7228440
"Religion, Conflict and Peace",74060,Introductory,Humanities,English,4-8,49,True,0-50,4.9,362894.0,3628940
"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",61139,Introductory,Humanities,English,8-12,49,True,0-50,4.9,299581.10000000003,2995811
Academic and Business Writing,322701,Introductory,Communication,English,4-8,49,True,0-50,4.9,1581234.9000000001,15812349
Data Science: Capstone,62803,Introductory,Data Analysis & Statistics,English,1-4,99,True,50-100,9.9,621749.7000000001,6217497
Basics of Computing and Programming,37045,Introductory,Computer Science,English,8-12,200,True,>150,20.0,740900.0,7409000
"Fundamentals of Neuroscience, Part 2: Neurons and Networks",84874,Introductory,Biology & Life Sciences,English,4-8,99,True,50-100,9.9,840252.6,8402526
Successful Negotiation: Essential Strategies and Skills,31369,Introductory,Business & Management,English,4-8,49,True,0-50,4.9,153708.1,1537081
Data Science: Linear Regression,75310,Introductory,Data Analysis & Statistics,English,4-8,49,True,0-50,4.9,369019.0,3690190
HTML5 and CSS Fundamentals,335895,Introductory,Computer Science,English,4-8,199,True,>150,19.900000000000002,6684310.500000001,66843105
Data Science: Productivity Tools,66683,Introductory,Data Analysis & Statistics,English,4-8,49,True,0-50,4.9,326746.7,3267467
Introduction to Corporate Finance,98093,Introductory,Business & Management,English,1-4,225,True,>150,22.5,2207092.5,22070925
Computer Science 101,39540,Introductory,Computer Science,English,4-8,149,True,100-150,14.9,589146.0,5891460
Data Science: Wrangling,64584,Introductory,Data Analysis & Statistics,English,4-8,49,True,0-50,4.9,316461.60000000003,3164616
A Hands-on Introduction to Engineering Simulations,187138,Intermediate,Engineering,English,4-8,199,True,>150,19.900000000000002,3724046.2,37240462
AI for Everyone: Master the Basics,49340,Introductory,Computer Science,English,1-4,49,True,0-50,4.9,241766.00000000003,2417660
The Psychology of Criminal Justice,110086,Introductory,Humanities,English,4-8,99,True,50-100,9.9,1089851.4000000001,10898514
Machine Learning with Python: A Practical Introduction,80161,Introductory,Data Analysis & Statistics,English,4-8,39,True,0-50,3.9000000000000004,312627.9,3126279
