course_title,is_paid,price,num_subscribers,level,published_timestamp,subject,categ_price,categ_duration,sales,comisiones,costos
Ultimate Investment Banking Course,True,200,2147,All Levels,18-01-2017,Business Finance,150-200,0-2,429400,74.0,158878.0
Complete GST Course & Certification - Grow Your CA Practice,True,75,2792,All Levels,09-03-2017,Business Finance,50-100,>10,209400,27.75,77478.0
Financial Modeling for Business Analysts and Consultants,True,45,2174,Intermediate Level,19-12-2016,Business Finance,0-50,2-4,97830,16.65,36197.1
Beginner to Pro - Financial Analysis in Excel 2017,True,95,2451,All Levels,30-05-2017,Business Finance,50-100,2-4,232845,35.15,86152.65
How To Maximize Your Profits Trading Options,True,200,1276,Intermediate Level,13-12-2016,Business Finance,150-200,0-2,255200,74.0,94424.0
Trading Penny Stocks: A Guide for All Levels In 2017,True,150,9221,All Levels,02-05-2014,Business Finance,100-150,2-4,1383150,55.5,511765.5
Investing And Trading For Beginners: Mastering Price Charts,True,65,1540,Beginner Level,21-02-2016,Business Finance,50-100,0-2,100100,24.05,37037.0
"Trading Stock Chart Patterns For Immediate, Explosive Gains",True,95,2917,All Levels,30-01-2015,Business Finance,50-100,2-4,277115,35.15,102532.55
Options Trading 3 : Advanced Stock Profit and Success Method,True,195,5172,Expert Level,28-05-2015,Business Finance,150-200,2-4,1008540,72.15,373159.80000000005
The Only Investment Strategy You Need For Your Retirement,True,200,827,All Levels,18-04-2017,Business Finance,150-200,0-2,165400,74.0,61198.0
Forex Trading Secrets of the Pros With Amazon's AWS,True,200,4284,All Levels,11-09-2015,Business Finance,150-200,4-6,856800,74.0,317016.0
Trading Options With Money Flow,True,200,1380,All Levels,18-10-2016,Business Finance,150-200,0-2,276000,74.0,102120.0
Financial Management Risk and Return For Securities,True,30,3607,All Levels,03-02-2016,Business Finance,0-50,0-2,108210,11.1,40037.7
Forex Trading Course: Work Smarter Not Harder Proven Results,True,195,4061,All Levels,16-03-2016,Business Finance,150-200,0-2,791895,72.15,293001.15
Python Algo Trading: Sentiment Trading with News,True,200,294,All Levels,28-04-2017,Business Finance,150-200,6-8,58800,74.0,21756.0
Short Selling: Learn To Sell Stocks Before The Fall,True,75,2276,Intermediate Level,22-06-2015,Business Finance,50-100,0-2,170700,27.75,63159.0
Basic Technical Analysis: Learn the structure of the market,True,20,4919,Beginner Level,08-01-2016,Business Finance,0-50,0-2,98380,7.4,36400.6
The Complete Chart Pattern Trading Course: A Proven Approach,True,200,2666,All Levels,10-08-2015,Business Finance,150-200,2-4,533200,74.0,197284.0
7 Deadly Mistakes of Investing that Will Slash Your Profits!,True,50,5354,All Levels,21-09-2015,Business Finance,0-50,0-2,267700,18.5,99049.0
Financial Statements Made Easy,True,95,8095,Beginner Level,09-06-2013,Business Finance,50-100,0-2,769025,35.15,284539.25
Winning Forex Trading with Live Forex Trading Examples,True,200,809,All Levels,06-06-2017,Business Finance,150-200,0-2,161800,74.0,59866.0
Forex Traders - Create Your First Trading Robot. No Coding!,True,200,2295,All Levels,02-05-2016,Business Finance,150-200,2-4,459000,74.0,169830.0
Create A Business From Home Trading Stocks Today In 2017,True,75,10149,All Levels,26-05-2015,Business Finance,50-100,0-2,761175,27.75,281634.75
Introduction to Accounting : Mastering Financial Statements,True,50,1916,Beginner Level,05-12-2016,Business Finance,0-50,0-2,95800,18.5,35446.0
The Complete Ethereum Course: Get .01 Ether In Your Wallet,True,45,2507,All Levels,30-05-2016,Business Finance,0-50,0-2,112815,16.65,41741.549999999996
Beginner to Pro in PowerPoint: Complete PowerPoint Training,True,150,5786,All Levels,31-01-2015,Business Finance,100-150,4-6,867900,55.5,321123.0
Investing 101: The Complete Online Investing Course,True,200,5334,All Levels,28-11-2014,Business Finance,150-200,4-6,1066800,74.0,394716.0
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,True,175,4005,Intermediate Level,12-04-2015,Business Finance,150-200,0-2,700875,64.75,259323.75
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),True,150,2877,All Levels,26-04-2016,Business Finance,100-150,4-6,431550,55.5,159673.5
Forex Trading: Your Complete Guide to Get Started Like a Pro,True,140,1026,Beginner Level,27-06-2017,Business Finance,100-150,2-4,143640,51.8,53146.799999999996
Python Algo Stock Trading: Automate Your Trading!,True,95,1165,Beginner Level,28-05-2017,Business Finance,50-100,2-4,110675,35.15,40949.75
THE Forex Robot: Incredible ROI (Robot Included),True,200,1843,All Levels,04-10-2016,Business Finance,150-200,0-2,368600,74.0,136382.0
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,True,45,8797,All Levels,09-01-2015,Business Finance,0-50,6-8,395865,16.65,146470.05
Mastering High Probability Iron Condor Options Trading,True,200,1030,All Levels,01-06-2017,Business Finance,150-200,0-2,206000,74.0,76220.0
